arm,base,perm,TWA,Accuracy,Det. Time,TWA_gridmean,TWA__pretzel,TWA__push_chair,TWA__push_t,TWA__sorting,TWA__stacking
perm_obs__real,kern_cd_obs,-1,0.6895800000000001,0.79594,0.23706,0.635555294117647,0.7499,0.8938,0.5528000000000001,0.5538000000000001,0.6976
perm_flat__real,kern_cd_flat,-1,0.68446,0.7784800000000001,0.21522000000000002,0.6128180392156863,0.7523,0.8804000000000001,0.5397000000000001,0.5577,0.6921999999999999
perm_flat__shuf0,kern_cd_flat,0,0.58228,0.68446,0.26121999999999995,0.520983137254902,0.7426999999999999,0.552,0.5599999999999999,0.5372,0.5195000000000001
perm_flat__shuf1,kern_cd_flat,1,0.54792,0.66044,0.27894,0.510672156862745,0.7059,0.46349999999999997,0.5495,0.5149,0.5058
perm_flat__shuf2,kern_cd_flat,2,0.55722,0.68052,0.2959,0.5152317647058823,0.728,0.48599999999999993,0.5423,0.5351,0.49470000000000003
perm_sum__real,kern_cd_sum,-1,0.6809200000000001,0.77272,0.20856,0.6164815686274511,0.752,0.8366,0.543,0.5519000000000001,0.7211
perm_sum__shuf0,kern_cd_sum,0,0.56548,0.66448,0.25438,0.5197854901960784,0.7173,0.5122,0.5507000000000001,0.5407,0.5065000000000001
perm_sum__shuf1,kern_cd_sum,1,0.5479200000000001,0.6389,0.26688,0.5157298039215685,0.7016,0.493,0.5416000000000001,0.5366000000000001,0.4668
perm_sum__shuf2,kern_cd_sum,2,0.55272,0.66494,0.2802,0.5110286274509804,0.691,0.49800000000000005,0.5372,0.5442,0.4932
perm_disp__real,kern_cd_disp,-1,0.69088,0.79752,0.2531,0.6199376470588235,0.749,0.9117000000000001,0.5474,0.5473,0.6990000000000001
perm_disp__shuf0,kern_cd_disp,0,0.5880599999999999,0.69784,0.33738,0.5532313725490197,0.7026999999999999,0.5477000000000001,0.5453,0.5549999999999999,0.5896
perm_disp__shuf1,kern_cd_disp,1,0.56698,0.69018,0.32711999999999997,0.5342945098039216,0.6903,0.4688,0.5035000000000001,0.5298,0.6425000000000001
perm_disp__shuf2,kern_cd_disp,2,0.56796,0.68692,0.34321999999999997,0.5387780392156862,0.6866,0.4626,0.5173,0.5433,0.63
perm_sig__real,kern_cd_sig,-1,0.6704399999999999,0.7885,0.2794,0.6143913725490195,0.7274,0.8792,0.5403,0.5438,0.6615
perm_sig__shuf0,kern_cd_sig,0,0.5795399999999999,0.71796,0.31932,0.5424956862745098,0.728,0.488,0.5359,0.5114,0.6344000000000001
perm_sig__shuf1,kern_cd_sig,1,0.5496000000000001,0.6896,0.35362,0.5250149019607843,0.6677000000000001,0.4654,0.48389999999999994,0.5206000000000001,0.6104
perm_sig__shuf2,kern_cd_sig,2,0.56782,0.7273,0.37434,0.5334556862745098,0.6271,0.48439999999999994,0.5512,0.5502,0.6262000000000001
