arm,k_o,k_A,corr,R2,m,task
red_flat,0.587265283207697,0.6196981917644261,0.6788220308685433,0.4607993495924936,350,push_t
red_sum,0.587265283207697,0.6187517284895007,0.7007228095282003,0.4910124557930945,350,push_t
red_disp,0.587265283207697,0.6156039101681092,0.22192269912526338,0.04924968438704218,350,push_t
red_sig,0.587265283207697,0.6145526461950525,0.23832014329091528,0.05679649069820239,350,push_t
red_flat,0.6097198369879929,0.6134752167457024,0.6946787801959051,0.48257860765447064,800,sorting
red_sum,0.6097198369879929,0.6234566970223785,0.6856258543262695,0.47008281212062697,800,sorting
red_disp,0.6097198369879929,0.6199019621714758,0.7036926530502032,0.4951833499568337,800,sorting
red_sig,0.6097198369879929,0.6331923901333603,0.7019027938373006,0.49266753199660807,800,sorting
red_flat,0.638423180116594,0.6290870288360512,0.45044397568889283,0.20289977523441588,800,stacking
red_sum,0.638423180116594,0.6243154456137614,0.45463619008610867,0.20669406533601234,800,stacking
red_disp,0.638423180116594,0.6313529787190783,0.4689574656677213,0.219921104605492,800,stacking
red_sig,0.638423180116594,0.6282418709077677,0.3324467464676936,0.11052083923695497,800,stacking
red_flat,0.6040133110241418,0.6286748815056521,0.37185635496201264,0.13827714872563435,517,pretzel
red_sum,0.6040133110241418,0.6390962716298524,0.3627317443494014,0.13157431835875952,517,pretzel
red_disp,0.6040133110241418,0.6270656475804547,0.26898594323367087,0.0723534376573076,517,pretzel
red_sig,0.6040133110241418,0.6462816494397445,0.25166817238212413,0.06333686899015854,517,pretzel
red_flat,0.5627079631931947,0.6250669630945505,0.2221512473845331,0.04935117671450402,49,push_chair
red_sum,0.5627079631931947,0.5719303214606657,0.2178123052907614,0.047442200336075845,49,push_chair
red_disp,0.5627079631931947,0.5917834225219808,0.15655498457499442,0.02450946319527674,49,push_chair
red_sig,0.5627079631931947,0.6048628115287193,0.13077614433287443,0.017102399926572805,49,push_chair
