task,embed_dim,pairs,median,mean,med/pooled,mean/pooled,P(< pooled q01),P(= 0)
push_t,64,adjacent,0.005247732539857928,0.05584897850207336,0.010494082276191589,0.0917608672699398,0.7587121212121212,0.42916666666666664
push_t,64,within,0.25118905007737824,0.3572755944144812,0.502311910595539,0.5870101705913738,0.2681093717569177,0.08989414579259566
push_t,64,pooled,0.5000658849191322,0.6086361230411897,1.0,1.0,0.01,0.000306
pretzel,512,adjacent,0.22962434600609313,0.2546147546627912,0.3338821953103484,0.364465051204489,0.2575107296137339,0.0
pretzel,512,within,0.6681786448589325,0.6618294339806666,0.9715561815865736,0.9473673230911627,0.03130209704308151,0.0
pretzel,512,pooled,0.6877406139990602,0.6985985455157825,1.0,1.0,0.01,0.0
push_chair,96,adjacent,0.04529661105092961,0.04923979752271453,0.615219613655248,0.6149938849334783,0.02358490566037736,0.0
push_chair,96,within,0.056312260329022396,0.06190906642665081,0.7648344156414304,0.7732301753833815,0.018803418803418803,0.0
push_chair,96,pooled,0.07362673433281107,0.08006550752621,1.0,1.0,0.010013374026953807,0.0
sorting,128,adjacent,2.2779117497258072,2.3246217312750224,0.3767640457582578,0.3867530870334664,0.7363373493975903,0.0
sorting,128,within,5.663607263863062,5.349359024629573,0.9367542823271161,0.8899861377838312,0.130444,0.0
sorting,128,pooled,6.045990256690731,6.010609376400062,1.0,1.0,0.01,0.0
stacking,640,adjacent,2.640638400312255,2.8121544750532586,0.2206371852777238,0.233912638264074,0.9552048867396284,0.0
stacking,640,within,10.339405861498552,9.83733975593257,0.8639037463271311,0.8182616268854398,0.1943,0.0
stacking,640,pooled,11.96823825044899,12.022242559970175,1.0,1.0,0.01,2e-06
