task,dim,steps,episodes,pairs,n_pairs_total,n_pairs_used,exact,mean,std,min,q01,q25,q50,q75,q99,max
push_t,64,10910,350,adjacent,10560,10560,True,0.05584897850207336,0.09274477500571277,0.0,0.0,0.0,0.005247732539857928,0.07999306680281534,0.3971627268384667,0.998004648066066
push_t,64,10910,350,within,183082,183082,True,0.3572755944144812,0.3501236667405911,0.0,0.0,0.0717437288144483,0.25118905007737824,0.5562167480911535,1.4366616660748213,2.281943499207824
push_t,64,10910,350,pooled,59508595,500000,False,0.6086361230411897,0.41810071066851495,0.0,0.08382413856616532,0.29589853650688014,0.5000658849191322,0.8264932894822454,1.9707767237750025,3.7062288492868687
pretzel,512,1661,30,adjacent,1631,1631,True,0.2546147546627912,0.14286867679751472,0.009235153879895073,0.01799687074340615,0.1637592856607259,0.22962434600609313,0.3264306959746981,0.667135560117196,1.0757074659171417
pretzel,512,1661,30,within,45588,45588,True,0.6618294339806666,0.2461215753788078,0.007943643269113957,0.08127427376846001,0.5090348558251662,0.6681786448589325,0.824672070809428,1.2487781886723976,1.587257954214307
pretzel,512,1661,30,pooled,1378630,500000,False,0.6985985455157825,0.22334760970631187,0.009604924048166003,0.1662256085610463,0.5490987450642955,0.6877406139990602,0.8420991061782779,1.2557612652521315,1.811422365569521
push_chair,96,242,30,adjacent,212,212,True,0.04923979752271453,0.025687953605688055,0.007493437078457988,0.012831496540700245,0.02863368747690485,0.04529661105092961,0.06470061371582175,0.12969369388532184,0.14473035077086152
push_chair,96,242,30,within,1170,1170,True,0.06190906642665081,0.03343035464255102,0.0038732078984876654,0.013138674277492766,0.037672166965502046,0.056312260329022396,0.07917581508249355,0.16301729453421898,0.21057733877520954
push_chair,96,242,30,pooled,29161,29161,True,0.08006550752621,0.03992697622651286,0.0038732078984876654,0.014544959517897693,0.05061754084008566,0.07362673433281107,0.10355952513920579,0.19690859778720735,0.24760910065669609
sorting,128,21200,450,adjacent,20750,20750,True,2.3246217312750224,1.0997273821106255,0.024732739589092424,0.13334046369331104,1.6139328289403863,2.2779117497258072,2.9965875743785775,5.27205512556572,7.601536403465409
sorting,128,21200,450,within,547138,500000,False,5.349359024629573,1.9170748495523964,0.0256602719714248,0.5013745554426969,4.182615378446983,5.663607263863062,6.76180045269017,8.826507349903284,10.862489196210182
sorting,128,21200,450,pooled,224709400,500000,False,6.010609376400062,1.301032415870553,0.009670884960075017,2.9516413872245133,5.130651312452551,6.045990256690731,6.919053068372534,8.882248488590642,11.276869907655467
stacking,640,67643,850,adjacent,66793,66793,True,2.8121544750532586,1.9399811681981012,0.04026226188893856,0.17948447493233682,1.1707306749614033,2.640638400312255,3.9360055782640493,8.959873560978842,12.121768916600702
stacking,640,67643,850,within,2933613,500000,False,9.83733975593257,3.743284546470576,0.062348461474544495,0.8380806531008871,7.50644440305172,10.339405861498552,12.534917867915189,16.709906610075056,20.72841224237086
stacking,640,67643,850,pooled,2287753903,500000,False,12.022242559970175,2.365006254646101,0.0,6.562102926520312,10.381190870808043,11.96823825044899,13.681141445482002,17.22129941056101,20.668450021117955
