task,mode,family,dim,level,best_TWA,TPR,TNR,auroc,at
sorting,flat,sigvar,24,,0.5892410278320312,0.7379310131072998,0.7058820128440857,0.6160378634212306,tvt_quantile/q0.97/w50
sorting,flat,sigtc,24,,0.5536929965019226,0.28275901079177856,0.8627449870109558,0.5549154834347533,tvt_cp_band/q0.99/w35
sorting,flat,sigmmd,24,,0.5266730189323425,0.2482759952545166,0.8705880045890808,0.27659229208924946,tvt_cp_band/q0.99/w7
sorting,disp,sigvar,3,,0.5966939926147461,0.8275859951972961,0.5529410243034363,0.5906964164976335,tvt_quantile/q0.9/w50
sorting,disp,sigtc,3,,0.5844749808311462,0.5379310250282288,0.792156994342804,0.6457336037863421,ct_quantile/q0.92/w5
sorting,disp,sigmmd,3,,0.509660005569458,0.07586199790239334,0.9647060036659241,0.2685057471264368,tvt_cp_band/q0.93/w40
sorting,sig,sigvar,20,2.0,0.576216995716095,0.7586209774017334,0.5803920030593872,0.5731710615280595,tvt_quantile/q0.9/w50
sorting,sig,sigtc,20,2.0,0.5878840088844299,0.5379310250282288,0.800000011920929,0.6441920216362407,ct_quantile/q0.92/w5
sorting,sig,sigmmd,20,2.0,0.5095700025558472,0.17241400480270386,0.9686269760131836,0.2666666666666666,tvt_cp_band/q0.94/w15
stacking,flat,sigvar,24,,0.6823580265045166,0.919588029384613,0.8222219944000244,0.8055931926035018,tvt_cp_band/q0.96/w5
stacking,flat,sigtc,24,,0.6987529993057251,0.9711340069770813,0.8158730268478394,0.8507772868597612,tvt_cp_band/q0.96/w5
stacking,flat,sigmmd,24,,0.6289359927177429,0.7979379892349243,0.8730159997940063,0.7909081983308788,tvt_cp_band/q0.91/w20
stacking,disp,sigvar,3,,0.6936339735984802,0.9484540224075317,0.774603009223938,0.8087056128293242,tvt_cp_band/q0.95/w3
stacking,disp,sigtc,3,,0.7097510099411011,0.9546390175819397,0.7650790214538574,0.8687547046309932,tvt_cp_band/q0.96/w4
stacking,disp,sigmmd,3,,0.6249740123748779,0.9773200154304504,0.7682539820671082,0.5826738667975782,tvt_cp_band/q0.99/w1
stacking,sig,sigvar,20,2.0,0.6448829770088196,0.9278349876403809,0.7555559873580933,0.7016658484699723,tvt_cp_band/q0.95/w2
stacking,sig,sigtc,20,2.0,0.7036269903182983,0.9567009806632996,0.7523810267448425,0.8688496154475536,tvt_cp_band/q0.96/w4
