task,B,dyadic,H,grid,gram_1step_ms,peak_MB
sorting,32,0,8,7,1.2886483978945762,0.401408
sorting,32,1,8,14,2.5088482012506574,1.605632
sorting,32,2,8,28,4.93261200026609,6.422528
stacking,32,0,8,7,1.2331030011409894,0.401408
stacking,32,1,8,14,2.4724831979256123,1.605632
stacking,32,2,8,28,4.943893998279236,6.422528
push_t,32,0,16,15,2.646105599706061,1.8432
push_t,32,1,16,30,5.267919600009918,7.3728
push_t,32,2,16,60,10.5816274008248,29.4912
push_t,64,0,16,15,2.640784200048074,7.3728
push_t,64,1,16,30,5.321426599402912,29.4912
push_t,64,2,16,60,10.62765560054686,117.9648
push_t,256,0,16,15,2.662744600092992,117.9648
push_t,256,1,16,30,18.18656099785585,471.8592
push_t,256,2,16,60,103.78222000144888,1887.4368
pretzel,30,0,16,15,2.506292797625065,1.62
pretzel,30,1,16,30,5.330452797352336,6.48
pretzel,30,2,16,60,10.617072801687755,25.92
push_chair,32,0,16,15,2.6469415985047817,1.8432
push_chair,32,1,16,30,5.336919199908152,7.3728
push_chair,32,2,16,60,10.56678899913095,29.4912
push_chair,64,0,16,15,2.6390507991891354,7.3728
push_chair,64,1,16,30,5.3088315995410085,29.4912
push_chair,64,2,16,60,10.613486199872568,117.9648
push_chair,256,0,16,15,2.6406780001707375,117.9648
push_chair,256,1,16,30,18.217940398608334,471.8592
push_chair,256,2,16,60,89.48451800097246,1887.4368
