task,actions,a,level,sig_dim,B,H,feat_1step_ms,sigvar_lin_1step_ms,sigvar_lin_64step_ms,sigvar_rbf_1step_ms,infeasible
sorting,position,3.0,1,4,32.0,8.0,0.1473306998377666,0.19467425008770078,0.20229120273143053,0.2524486502807122,
sorting,position,3.0,2,20,32.0,8.0,0.2927496003394481,0.34672660040087067,0.34314799995627254,0.40974599978653714,
sorting,position,3.0,3,84,32.0,8.0,0.489532600477105,0.549480249901535,0.5580336001003161,0.6154615002742503,
sorting,position,3.0,4,340,32.0,8.0,0.7653806496819016,0.7998549997864757,0.8260595990577713,0.8864329502102919,
sorting,position,3.0,5,1364,32.0,8.0,1.0810152503836434,1.1459538494818844,1.1635419999947771,1.2198229000205174,
sorting,all,6.0,1,7,32.0,8.0,0.14480730023933575,0.19342129962751642,0.19452800042927265,0.2558928004873451,
sorting,all,6.0,2,56,32.0,8.0,0.29205855025793426,0.34192324965260923,0.34880759776569903,0.40423275058856234,
sorting,all,6.0,3,399,32.0,8.0,0.5016342001908924,0.5559163000725675,0.5667125980835408,0.6171202003315557,
sorting,all,6.0,4,2800,32.0,8.0,0.7753693498671055,0.8291213001939468,1.0208811989286914,0.8943259999796283,
sorting,all,6.0,5,19607,32.0,8.0,1.0770812499686144,1.1417816502216738,16.016756001044996,1.1848131005535834,
stacking,position,3.0,1,4,32.0,8.0,0.1400061504682526,0.3310753498226404,0.25223480188287795,0.3720257504028268,
stacking,position,3.0,2,20,32.0,8.0,0.29103345004841685,0.45644194979104213,0.4599640000378713,0.4688863999035675,
stacking,position,3.0,3,84,32.0,8.0,0.4738564995932393,0.6826302495028358,0.5848127999342978,0.673860249662539,
stacking,position,3.0,4,340,32.0,8.0,0.7125853000616189,0.8603777001553681,0.8136060001561418,0.8915630496630911,
stacking,position,3.0,5,1364,32.0,8.0,1.081218899344094,1.140663600381231,1.1544331995537505,1.2039948996971361,
stacking,all,21.0,1,22,32.0,8.0,0.14135384990368038,0.19193675034330226,0.190036601270549,0.24876780007616617,
stacking,all,21.0,2,506,32.0,8.0,0.29371290002018213,0.3448461997322738,0.3507873974740505,0.3948830497392919,
stacking,all,21.0,3,11154,32.0,8.0,0.48543474986217916,0.5457101498905104,5.983556600403972,0.6161280500236899,
stacking,all,21.0,4,245410,32.0,8.0,1.3890894493670203,1.521466400299687,176.23778640117962,1.6404058500484098,
stacking,all,,5,5399042,,,,,,,True
push_t,position,3.0,1,4,256.0,16.0,0.2729061998252291,0.3141763503663242,1.1642520024906844,0.389606949465815,
push_t,position,3.0,2,20,256.0,16.0,0.5779236496891826,0.6383776999427937,2.418425597716123,0.7111911494575907,
push_t,position,3.0,3,84,256.0,16.0,1.0205291000602301,1.0725144005846232,4.138061197591014,1.1558307000086643,
push_t,position,3.0,4,340,256.0,16.0,1.5801469002326485,1.646151299792109,6.369240998174064,1.72051680056029,
push_t,position,3.0,5,1364,256.0,16.0,2.255625199904898,2.273068750218954,12.001182400854304,2.4665880999236833,
push_t,all,3.0,1,4,256.0,16.0,0.27211084961891174,0.36882529966533184,1.1524569999892265,0.46323165006469935,
push_t,all,3.0,2,20,256.0,16.0,0.5483266497321893,0.6797280999307986,2.3400595993734896,0.6989567002165131,
push_t,all,3.0,3,84,256.0,16.0,1.025338500039652,1.0719630496168975,4.136661399388686,1.1450953999883495,
push_t,all,3.0,4,340,256.0,16.0,1.5862791500694584,1.6398232997744344,6.335731002036482,1.7243647998839151,
push_t,all,3.0,5,1364,256.0,16.0,2.253529749577865,2.322879550047219,9.620224000536837,2.3986388499906752,
pretzel,position,3.0,1,4,30.0,16.0,0.2736340000410564,0.32475664993398823,0.3326029982417822,0.3929313497792464,
pretzel,position,3.0,2,20,30.0,16.0,0.5819209000037517,0.6461722005042247,0.6600707973120734,0.696876800066093,
pretzel,position,3.0,3,84,30.0,16.0,1.0167581494897604,1.0720501995820086,1.088731997879222,1.1425579003116582,
pretzel,position,3.0,4,340,30.0,16.0,1.5741416500532068,1.6372621998016257,1.6110450000269338,1.7144928002380766,
pretzel,position,3.0,5,1364,30.0,16.0,2.2430884499044623,2.304608550184639,2.309649597737007,2.389902200229699,
pretzel,all,5.0,1,6,30.0,16.0,0.2765882498351857,0.32373860012739897,0.3282618010416627,0.38466894984594546,
pretzel,all,5.0,2,42,30.0,16.0,0.5753236000600737,0.6315725993772503,0.639298401074484,0.6913400502526201,
pretzel,all,5.0,3,258,30.0,16.0,1.0006322503613774,1.0473634501977358,1.085862799664028,1.1245738998695742,
pretzel,all,5.0,4,1554,30.0,16.0,1.574856449587969,1.6151452997291926,1.6176563978660852,1.7131846994743682,
pretzel,all,5.0,5,9330,30.0,16.0,2.2313223998935428,2.2837727003206965,11.869344400474802,2.3887761497462634,
push_chair,position,3.0,1,4,256.0,16.0,0.275748750573257,0.3214627497072797,1.1757428001146764,0.3876309499901254,
push_chair,position,3.0,2,20,256.0,16.0,0.5792430500150658,0.6323095498373732,2.3908589995699003,0.6994534502155147,
push_chair,position,3.0,3,84,256.0,16.0,1.0067221999634057,1.0694410004361998,4.132777400081977,1.153740050358465,
push_chair,position,3.0,4,340,256.0,16.0,1.5757672001200262,1.6469596499518957,6.344452998018824,1.7050252004992217,
push_chair,position,3.0,5,1364,256.0,16.0,2.2600428499572445,2.3230835002323147,9.606905400869437,2.4997445500048343,
push_chair,all,3.0,1,4,256.0,16.0,0.26417769986437634,0.42474424990359694,1.2568392005050555,0.502983300248161,
push_chair,all,3.0,2,20,256.0,16.0,0.5486660003953148,0.7048044499242678,2.34997860097792,0.7125727497623302,
push_chair,all,3.0,3,84,256.0,16.0,0.9605396495317109,1.0603769995213952,4.102663401863538,1.132552150374977,
push_chair,all,3.0,4,340,256.0,16.0,1.564009849971626,1.6292868000164162,6.26178800011985,1.7119722004281357,
push_chair,all,3.0,5,1364,256.0,16.0,2.2419352004362736,2.3208167498523835,9.549851401243359,2.393050899991067,
