task,actions,a,d_time_aug,H,B,level,sig_dim,logsig_dim,bytes_per_step_fp32,MB_per_step,gram_BxB_MB
sorting,position,3,4,8,32,1,4,4,512,0.000512,0.004096
sorting,position,3,4,8,32,2,20,10,2560,0.00256,0.004096
sorting,position,3,4,8,32,3,84,30,10752,0.010752,0.004096
sorting,position,3,4,8,32,4,340,90,43520,0.04352,0.004096
sorting,position,3,4,8,32,5,1364,294,174592,0.174592,0.004096
sorting,position,3,4,8,32,6,5460,964,698880,0.69888,0.004096
sorting,all,6,7,8,32,1,7,7,896,0.000896,0.004096
sorting,all,6,7,8,32,2,56,28,7168,0.007168,0.004096
sorting,all,6,7,8,32,3,399,140,51072,0.051072,0.004096
sorting,all,6,7,8,32,4,2800,728,358400,0.3584,0.004096
sorting,all,6,7,8,32,5,19607,4088,2509696,2.509696,0.004096
sorting,all,6,7,8,32,6,137256,23632,17568768,17.568768,0.004096
stacking,position,3,4,8,32,1,4,4,512,0.000512,0.004096
stacking,position,3,4,8,32,2,20,10,2560,0.00256,0.004096
stacking,position,3,4,8,32,3,84,30,10752,0.010752,0.004096
stacking,position,3,4,8,32,4,340,90,43520,0.04352,0.004096
stacking,position,3,4,8,32,5,1364,294,174592,0.174592,0.004096
stacking,position,3,4,8,32,6,5460,964,698880,0.69888,0.004096
stacking,all,21,22,8,32,1,22,22,2816,0.002816,0.004096
stacking,all,21,22,8,32,2,506,253,64768,0.064768,0.004096
stacking,all,21,22,8,32,3,11154,3795,1427712,1.427712,0.004096
stacking,all,21,22,8,32,4,245410,62238,31412480,31.41248,0.004096
stacking,all,21,22,8,32,5,5399042,1092960,691077376,691.077376,0.004096
stacking,all,21,22,8,32,6,118778946,19987759,15203705088,15203.705088,0.004096
push_t,position,3,4,16,256,1,4,4,4096,0.004096,0.262144
push_t,position,3,4,16,256,2,20,10,20480,0.02048,0.262144
push_t,position,3,4,16,256,3,84,30,86016,0.086016,0.262144
push_t,position,3,4,16,256,4,340,90,348160,0.34816,0.262144
push_t,position,3,4,16,256,5,1364,294,1396736,1.396736,0.262144
push_t,position,3,4,16,256,6,5460,964,5591040,5.59104,0.262144
push_t,all,3,4,16,256,1,4,4,4096,0.004096,0.262144
push_t,all,3,4,16,256,2,20,10,20480,0.02048,0.262144
push_t,all,3,4,16,256,3,84,30,86016,0.086016,0.262144
push_t,all,3,4,16,256,4,340,90,348160,0.34816,0.262144
push_t,all,3,4,16,256,5,1364,294,1396736,1.396736,0.262144
push_t,all,3,4,16,256,6,5460,964,5591040,5.59104,0.262144
pretzel,position,3,4,16,30,1,4,4,480,0.00048,0.0036
pretzel,position,3,4,16,30,2,20,10,2400,0.0024,0.0036
pretzel,position,3,4,16,30,3,84,30,10080,0.01008,0.0036
pretzel,position,3,4,16,30,4,340,90,40800,0.0408,0.0036
pretzel,position,3,4,16,30,5,1364,294,163680,0.16368,0.0036
pretzel,position,3,4,16,30,6,5460,964,655200,0.6552,0.0036
pretzel,all,5,6,16,30,1,6,6,720,0.00072,0.0036
pretzel,all,5,6,16,30,2,42,21,5040,0.00504,0.0036
pretzel,all,5,6,16,30,3,258,91,30960,0.03096,0.0036
pretzel,all,5,6,16,30,4,1554,406,186480,0.18648,0.0036
pretzel,all,5,6,16,30,5,9330,1960,1119600,1.1196,0.0036
pretzel,all,5,6,16,30,6,55986,9695,6718320,6.71832,0.0036
push_chair,position,3,4,16,256,1,4,4,4096,0.004096,0.262144
push_chair,position,3,4,16,256,2,20,10,20480,0.02048,0.262144
push_chair,position,3,4,16,256,3,84,30,86016,0.086016,0.262144
push_chair,position,3,4,16,256,4,340,90,348160,0.34816,0.262144
push_chair,position,3,4,16,256,5,1364,294,1396736,1.396736,0.262144
push_chair,position,3,4,16,256,6,5460,964,5591040,5.59104,0.262144
push_chair,all,3,4,16,256,1,4,4,4096,0.004096,0.262144
push_chair,all,3,4,16,256,2,20,10,20480,0.02048,0.262144
push_chair,all,3,4,16,256,3,84,30,86016,0.086016,0.262144
push_chair,all,3,4,16,256,4,340,90,348160,0.34816,0.262144
push_chair,all,3,4,16,256,5,1364,294,1396736,1.396736,0.262144
push_chair,all,3,4,16,256,6,5460,964,5591040,5.59104,0.262144
