task,method,threshold,quantile,window,TWA,TPR,TNR
stacking,sigtc(L2-lin-t),tvt_cp_band,0.96,4,0.7036269903182983,0.9567009806632996,0.7523810267448425
stacking,kern_cd,ct_quantile,0.97,13,0.7249259948730469,0.9628869891166687,0.7460319995880127
stacking,kern_cd_or_sigtc,ct_quantile,0.97,13,0.7286750078201294,0.9690719842910767,0.7428569793701172
stacking,kern_cd_and_sigtc,tvt_cp_band,0.96,2,0.741159975528717,0.9814429879188538,0.8158730268478394
sorting,sigtc(L2-lin-t),ct_quantile,0.92,5,0.5878840088844299,0.5379310250282288,0.800000011920929
sorting,kern_cd,ct_quantile,0.99,1,0.5948290228843689,0.5448279976844788,0.9019610285758972
sorting,kern_cd_or_sigtc,ct_quantile,0.99,1,0.6244760155677795,0.6758620142936707,0.8627449870109558
sorting,kern_cd_and_sigtc,tvt_quantile,0.95,35,0.5860509872436523,0.6758620142936707,0.6823530197143555
push_t,sigtc(L2-lin-t),ct_quantile,0.91,11,0.6093530058860779,0.7373740077018738,0.764706015586853
push_t,kern_cd,tvt_quantile,0.99,25,0.565496027469635,0.8838379979133606,0.5196080207824707
push_t,kern_cd_or_sigtc,ct_quantile,0.99,1,0.5953050255775452,0.5555559992790222,0.7549020051956177
push_t,kern_cd_and_sigtc,tvt_quantile,0.97,1,0.6178200244903564,0.9191920161247253,0.7058820128440857
