task,actions,a,tv_median,tv_p05,tv_p95,theta,d_with_time,max_level_8GB,sigdim_L3,sigdim_L4,level_computed,rms_L1,rms_scaled_L1,rms_L2,rms_scaled_L2,rms_L3,rms_scaled_L3,rms_L4,rms_scaled_L4,rms_L5,rms_scaled_L5
sorting,position,3,0.0020314262986520096,0.0012207375880900232,0.002368086185270807,492.26496706455384,4,11,84,340,5,0.00189150010548587,0.931119237129602,1.9320199054428445e-06,0.4681763329302085,1.3538619315601518e-09,0.16149949374528963,7.260682413190157e-13,0.042635676557675056,3.1685088099423926e-16,0.00915903179333918
sorting,all,3,0.01437586980700491,0.004143542444116297,0.03177566622337619,69.56100837201039,4,11,84,340,5,0.006671320906970258,0.46406380946212605,4.011219053345212e-05,0.19409221556510897,2.096734931520174e-07,0.07057341572193926,9.908390318398305e-10,0.023198856703200793,4.297293457571504e-12,0.006998812474666864
stacking,position,3,0.022918757527714825,0.0040105668418286815,0.060768008373228,43.63238272365926,4,11,84,340,5,0.03299745408922127,1.4397575457272782,0.0008490117240436922,1.6163356340565889,1.6664080178564107e-05,1.384229615439464,2.6900189479756773e-07,0.9749695660857883,3.78596528113666e-09,0.5987165692418056
stacking,all,21,0.137893000093936,0.034112878634733314,6.48394208859406,7.251999733987773,22,5,11154,245410,4,1.9348261827506954,14.031358962620622,6.012061810981199,316.18334958447997,12.543700144660589,4784.086266066432,19.688166279135164,54454.827492205775,,
push_t,position,3,98.93552990903171,9.953596538765106,294.1755320607989,0.010107592296917703,4,11,84,340,5,103.5713902496295,1.0468573862682125,11628.350989201022,1.1879921297472524,1149188.3661294342,1.1866820358783732,99986387.20555896,1.0435943986052543,7634787775.952796,0.8054443664970035
push_t,all,3,98.93552990903171,9.953596538765106,294.1755320607989,0.010107592296917703,4,11,84,340,5,103.5713902496295,1.0468573862682125,11628.350989201022,1.1879921297472524,1149188.3661294342,1.1866820358783732,99986387.20555896,1.0435943986052543,7634787775.952796,0.8054443664970035
pretzel,position,3,0.09154873634700683,0.016223442365340585,0.16395676349556623,10.923143670815886,4,11,84,340,5,0.09867828699567045,1.0778771060437113,0.0066232971326301605,0.7902591454675773,0.00033506485316937883,0.4366885575854217,1.3887466377295201e-05,0.19770315690779164,4.937795883381067e-07,0.07678411143174807
pretzel,all,5,0.5226015600334089,0.07596344208131986,1.1474912071291625,1.9135036641223804,6,9,258,1554,5,0.6125941603959135,1.1722011705375537,0.2612803628113772,0.9566770745399873,0.08432222127120259,0.59078564339331,0.0219078321623252,0.2937085558145667,0.004799082695940357,0.12311322968383567
push_chair,position,3,0.3304965683947591,0.2505245162637068,0.4434569485164064,3.0257500247492968,4,11,84,340,5,0.23132011329621152,0.6999168385310222,0.03458953138529187,0.3166728052682955,0.003815306336801781,0.10568869863879529,0.0003355769030410391,0.028127053793454686,2.483121955739977e-05,0.006297428967463165
push_chair,all,3,0.3304965683947591,0.2505245162637068,0.4434569485164064,3.0257500247492968,4,11,84,340,5,0.23132011329621152,0.6999168385310222,0.03458953138529187,0.3166728052682955,0.003815306336801781,0.10568869863879529,0.0003355769030410391,0.028127053793454686,2.483121955739977e-05,0.006297428967463165
