task,family,kernel,level,feat_dim,best_TWA,TPR,TNR,at,auroc,score_s,eval_s
push_chair,sigvar,lin,1,4,0.8642860054969788,1.0,0.8999999761581421,ct_quantile/q0.9/w1,0.99,0.7,0.3
push_chair,sigtc,lin,1,4,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.94/w1,0.98,0.6,0.3
push_chair,sigmmd,lin,1,4,0.8023809790611267,1.0,0.800000011920929,tvt_cp_band/q0.92/w11,0.95,0.5,0.3
push_chair,sigvar,lin,2,20,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,0.7,0.4
push_chair,sigtc,lin,2,20,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,0.6,0.4
push_chair,sigmmd,lin,2,20,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.95,0.6,0.3
push_chair,sigvar,lin,3,84,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,0.8,0.3
push_chair,sigtc,lin,3,84,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,0.5,0.3
push_chair,sigmmd,lin,3,84,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.92/w9,0.9400000000000001,0.2,0.4
push_chair,sigvar,lin,4,340,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,0.5,0.3
push_chair,sigtc,lin,4,340,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,0.6,0.3
push_chair,sigmmd,lin,4,340,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.92/w9,0.9400000000000001,0.5,0.3
pretzel,sigvar,lin,1,4,0.6768119931221008,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w3,0.29,0.6,0.4
pretzel,sigtc,lin,1,4,0.7021740078926086,1.0,0.6000000238418579,tvt_cp_band/q0.93/w2,0.25,0.2,0.4
pretzel,sigmmd,lin,1,4,0.7391300201416016,0.5,1.0,ct_quantile/q0.92/w4,0.59,0.5,0.4
pretzel,sigvar,lin,2,20,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.29000000000000004,0.6,0.4
pretzel,sigtc,lin,2,20,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,0.2,0.4
pretzel,sigmmd,lin,2,20,0.7427539825439453,0.5,1.0,ct_quantile/q0.97/w3,0.5800000000000001,0.4,0.4
pretzel,sigvar,lin,3,84,0.6630430221557617,0.800000011920929,0.699999988079071,tvt_cp_band/q0.99/w2,0.3,0.7,0.6
pretzel,sigtc,lin,3,84,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,0.6,0.5
pretzel,sigmmd,lin,3,84,0.7427539825439453,0.5,1.0,ct_quantile/q0.97/w3,0.5800000000000001,0.7,0.4
pretzel,sigvar,lin,4,340,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.3,0.3,0.4
pretzel,sigtc,lin,4,340,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,0.8,0.5
pretzel,sigmmd,lin,4,340,0.7427539825439453,0.5,1.0,ct_quantile/q0.96/w3,0.5800000000000001,0.2,0.4
