family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,variant,theta
sigvar,2,lin,True,False,False,False,3.0333,position,242,0.69,2856.4,0.3,0.8404759764671326,0.8999999761581421,1.0,tvt_cp_band/q0.96/w3,0.97,4.381545725670915,push_chair,kernel,lin,3.0333
sigtc,2,lin,True,False,False,False,3.0333,position,242,0.31,1271.0,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.97/w1,0.98,2.8801565956984714,push_chair,kernel,lin,3.0333
sigmmd,2,lin,True,False,False,False,3.0333,position,242,0.53,2181.5,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.94/w9,0.9400000000000001,2.745945104834965,push_chair,kernel,lin,3.0333
sigvar,2,rbf,True,False,False,False,3.0333,position,242,0.61,2522.8,0.3,0.8023809790611267,1.0,0.800000011920929,tvt_quantile/q0.97/w3,0.8099999999999999,0.03432786561074454,push_chair,kernel,rbf_median,3.0333
sigtc,2,rbf,True,False,False,False,3.0333,position,242,0.37,1519.9,0.3,0.8285710215568542,1.0,1.0,ct_quantile/q0.9/w9,0.8899999999999999,0.7752991981159058,push_chair,kernel,rbf_median,3.0333
sigvar,2,rbf,True,False,False,False,3.0333,position,242,0.45,1872.2,0.3,0.8357139825820923,0.8999999761581421,1.0,tvt_cp_band/q0.93/w3,0.97,1.6406455445145318,push_chair,kernel,rbf_global,3.0333
sigtc,2,rbf,True,False,False,False,3.0333,position,242,0.37,1534.7,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.97/w1,0.98,1.6597681124601942,push_chair,kernel,rbf_global,3.0333
sigmmd,2,rbf,True,False,False,False,3.0333,position,242,0.37,1511.2,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.94/w9,0.9400000000000001,1.225382888207247,push_chair,kernel,rbf_global,3.0333
sigvar,2,pde,True,False,False,False,3.0333,position,242,1.34,5542.5,0.3,0.8023809790611267,0.8999999761581421,0.8999999761581421,ct_quantile/q0.98/w2,0.9400000000000001,9.738868136805381,push_chair,kernel,pde_d0,3.0333
sigtc,2,pde,True,False,False,False,3.0333,position,242,1.42,5871.1,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.99/w1,0.99,6.785022877187741,push_chair,kernel,pde_d0,3.0333
sigmmd,2,pde,True,False,False,False,3.0333,position,242,2.18,8993.7,0.3,0.780951976776123,1.0,0.800000011920929,ct_quantile/q0.95/w9,0.95,10.811847103178172,push_chair,kernel,pde_d0,3.0333
sigvar,2,pde,True,False,False,False,3.0333,position,242,5.18,21388.8,0.3,0.8023809790611267,0.8999999761581421,0.8999999761581421,ct_quantile/q0.98/w2,0.9400000000000001,9.65583832927858,push_chair,kernel,pde_d1,3.0333
sigtc,2,pde,True,False,False,False,3.0333,position,242,6.1,25194.9,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.99/w1,0.99,6.72230038408688,push_chair,kernel,pde_d1,3.0333
sigmmd,2,pde,True,False,False,False,3.0333,position,242,10.6,43821.6,0.3,0.780951976776123,1.0,0.800000011920929,ct_quantile/q0.95/w9,0.95,10.712451310399045,push_chair,kernel,pde_d1,3.0333
sigvar,2,lin,True,False,False,False,10.6832,position,1661,0.4,239.5,0.5,0.6637679934501648,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w1,0.15,1.1353591525614797,pretzel,kernel,lin,10.6832
sigtc,2,lin,True,False,False,False,10.6832,position,1661,0.13,77.5,0.4,0.6717389822006226,1.0,0.6000000238418579,tvt_cp_band/q0.95/w2,0.26,2.80250983126844,pretzel,kernel,lin,10.6832
sigmmd,2,lin,True,False,False,False,10.6832,position,1661,0.55,331.1,0.5,0.7318840026855469,0.5,1.0,ct_quantile/q0.92/w7,0.56,1.161712640755764,pretzel,kernel,lin,10.6832
sigvar,2,rbf,True,False,False,False,10.6832,position,1661,0.39,232.0,0.4,0.5579710006713867,0.8999999761581421,0.800000011920929,tvt_cp_band/q0.9/w11,0.27,0.03873621444189358,pretzel,kernel,rbf_median,10.6832
sigtc,2,rbf,True,False,False,False,10.6832,position,1661,0.51,308.7,0.4,0.6782609820365906,1.0,0.6000000238418579,tvt_cp_band/q0.9/w30,0.13,1.0758561664500375,pretzel,kernel,rbf_median,10.6832
sigvar,2,rbf,True,False,False,False,10.6832,position,1661,0.38,229.2,0.4,0.6427540183067322,0.699999988079071,0.6000000238418579,tvt_quantile/q0.92/w40,0.15,1.1384539065571309,pretzel,kernel,rbf_global,10.6832
sigtc,2,rbf,True,False,False,False,10.6832,position,1661,0.47,280.9,0.4,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.26,2.8035000697836625,pretzel,kernel,rbf_global,10.6832
sigmmd,2,rbf,True,False,False,False,10.6832,position,1661,0.72,434.3,0.5,0.7318840026855469,0.5,1.0,ct_quantile/q0.92/w7,0.56,1.1623055805705342,pretzel,kernel,rbf_global,10.6832
sigvar,2,pde,True,False,False,False,10.6832,position,1661,1.13,682.3,0.4,0.8086959719657898,1.0,0.699999988079071,tvt_quantile/q0.94/w45,0.43999999999999995,1.5453688709723645,pretzel,kernel,pde_d0,10.6832
sigtc,2,pde,True,False,False,False,10.6832,position,1661,1.86,1117.8,0.5,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.26,2.772192225883832,pretzel,kernel,pde_d0,10.6832
sigmmd,2,pde,True,False,False,False,10.6832,position,1661,1.5,901.8,0.4,0.7333329916000366,0.5,1.0,ct_quantile/q0.9/w7,0.56,1.2827420578735487,pretzel,kernel,pde_d0,10.6832
sigvar,2,pde,True,False,False,False,10.6832,position,1661,1.54,929.2,0.4,0.8086959719657898,1.0,0.699999988079071,tvt_quantile/q0.94/w45,0.42999999999999994,1.5422755020220262,pretzel,kernel,pde_d1,10.6832
sigtc,2,pde,True,False,False,False,10.6832,position,1661,3.01,1813.1,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.26,2.7724197416955842,pretzel,kernel,pde_d1,10.6832
sigmmd,2,pde,True,False,False,False,10.6832,position,1661,5.64,3395.1,0.4,0.7333329916000366,0.5,1.0,ct_quantile/q0.9/w7,0.56,1.281914799883217,pretzel,kernel,pde_d1,10.6832
sigvar,2,lin,True,False,False,False,492.855,position,21200,6.12,288.4,1.8,0.576216995716095,0.7586209774017334,0.5803920030593872,tvt_quantile/q0.9/w50,0.5731710615280595,0.7167753655309328,sorting,kernel,lin,492.855
sigtc,2,lin,True,False,False,False,492.855,position,21200,6.46,304.8,1.7,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6441920216362407,2.021917543258316,sorting,kernel,lin,492.855
sigmmd,2,lin,True,False,False,False,492.855,position,21200,6.72,316.8,1.7,0.5095700025558472,0.17241400480270386,0.9686269760131836,tvt_cp_band/q0.94/w15,0.2666666666666666,0.713052712421577,sorting,kernel,lin,492.855
sigvar,2,rbf,True,False,False,False,492.855,position,21200,6.53,307.9,1.8,0.514644980430603,0.5379310250282288,0.9137250185012817,tvt_cp_band/q0.98/w20,0.38747802569303585,0.035353022975686085,sorting,kernel,rbf_median,492.855
sigtc,2,rbf,True,False,False,False,492.855,position,21200,6.6,311.2,1.8,0.5664610266685486,0.42758598923683167,0.8627449870109558,ct_quantile/q0.94/w5,0.583475321162948,1.0209871584024885,sorting,kernel,rbf_median,492.855
sigvar,2,rbf,True,False,False,False,492.855,position,21200,6.56,309.3,1.6,0.5113829970359802,0.5379310250282288,0.9137250185012817,tvt_quantile/q0.9/w2,0.5,0.0,sorting,kernel,rbf_global,492.855
sigtc,2,rbf,True,False,False,False,492.855,position,21200,7.35,346.5,1.5,0.5113829970359802,0.5379310250282288,0.9137250185012817,tvt_quantile/q0.9/w2,0.5,0.0,sorting,kernel,rbf_global,492.855
sigmmd,2,rbf,True,False,False,False,492.855,position,21200,8.33,393.1,1.5,0.5113829970359802,0.5379310250282288,0.9137250185012817,tvt_quantile/q0.9/w2,0.5,0.0,sorting,kernel,rbf_global,492.855
sigvar,2,pde,True,False,False,False,492.855,position,21200,12.94,610.3,1.7,0.5803170204162598,0.7586209774017334,0.5803920030593872,tvt_quantile/q0.9/w50,0.5570250169033131,0.6992320204321748,sorting,kernel,pde_d0,492.855
sigtc,2,pde,True,False,False,False,492.855,position,21200,13.63,642.9,1.7,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6441379310344827,2.0123042591751497,sorting,kernel,pde_d0,492.855
sigmmd,2,pde,True,False,False,False,492.855,position,21200,15.18,716.0,1.7,0.5089430212974548,0.06896600127220154,0.9960780143737793,ct_quantile/q0.99/w40,0.26626098715348206,0.7003193939654233,sorting,kernel,pde_d0,492.855
sigvar,2,pde,True,False,False,False,492.855,position,21200,14.61,689.1,1.7,0.5802239775657654,0.7586209774017334,0.5803920030593872,tvt_quantile/q0.9/w50,0.556997971602434,0.6993978617369463,sorting,kernel,pde_d1,492.855
sigtc,2,pde,True,False,False,False,492.855,position,21200,13.8,650.8,1.7,0.5878840088844299,0.5379310250282288,0.800000011920929,ct_quantile/q0.92/w5,0.6441379310344828,2.012509522321017,sorting,kernel,pde_d1,492.855
sigmmd,2,pde,True,False,False,False,492.855,position,21200,20.41,962.9,1.7,0.5089430212974548,0.06896600127220154,0.9960780143737793,ct_quantile/q0.99/w40,0.26626098715348206,0.7004250624063258,sorting,kernel,pde_d1,492.855
sigvar,2,lin,True,False,False,False,0.0099,position,10910,6.83,625.6,1.4,0.5723209977149963,0.9040399789810181,0.5196080207824707,tvt_cp_band/q0.9/w30,0.6672113289760349,3.2718130267116665,push_t,kernel,lin,0.0099
sigtc,2,lin,True,False,False,False,0.0099,position,10910,7.08,649.1,1.3,0.6093530058860779,0.7373740077018738,0.764706015586853,ct_quantile/q0.91/w11,0.7494553376906318,2.803556232119838,push_t,kernel,lin,0.0099
sigmmd,2,lin,True,False,False,False,0.0099,position,10910,5.97,547.2,1.2,0.554639995098114,0.6414139866828918,0.7450979948043823,ct_quantile/q0.93/w40,0.60051495345613,2.5147767396548373,push_t,kernel,lin,0.0099
sigvar,2,rbf,True,False,False,False,0.0099,position,10910,7.2,659.8,1.2,0.5682939887046814,1.0,0.8529409766197205,ct_quantile/q0.92/w30,0.6610714993067934,0.052964892855285384,push_t,kernel,rbf_median,0.0099
sigtc,2,rbf,True,False,False,False,0.0099,position,10910,6.83,626.2,1.2,0.6346330046653748,0.8939390182495117,0.8529409766197205,tvt_cp_band/q0.95/w9,0.6794414735591207,0.6062681432751797,push_t,kernel,rbf_median,0.0099
sigvar,2,rbf,True,False,False,False,0.0099,position,10910,6.84,626.8,1.4,0.6013960242271423,1.0,0.8529409766197205,tvt_quantile/q0.95/w15,0.7313824519706872,0.03314207572702623,push_t,kernel,rbf_global,0.0099
sigtc,2,rbf,True,False,False,False,0.0099,position,10910,6.23,570.7,1.2,0.5139870047569275,0.4848479926586151,0.8921570181846619,ct_quantile/q0.91/w35,0.4995543672014261,1.9352345255880419,push_t,kernel,rbf_global,0.0099
sigmmd,2,rbf,True,False,False,False,0.0099,position,10910,7.47,684.8,1.2,0.5108640193939209,0.10101000219583511,0.9901959896087646,ct_quantile/q0.99/w5,0.3103584868290751,1.7961291827495147,push_t,kernel,rbf_global,0.0099
sigvar,2,pde,True,False,False,False,0.0099,position,10910,42.88,3930.1,1.2,0.5729590058326721,0.9242420196533203,0.5,tvt_quantile/q0.9/w25,0.6399286987522281,33.350975320706524,push_t,kernel,pde_d0,0.0099
sigtc,2,pde,True,False,False,False,0.0099,position,10910,21.29,1951.7,1.2,0.6060770153999329,0.7323229908943176,0.764706015586853,ct_quantile/q0.9/w15,0.722123192711428,12.993142839779246,push_t,kernel,pde_d0,0.0099
sigmmd,2,pde,True,False,False,False,0.0099,position,10910,82.64,7574.4,1.2,0.5690690279006958,0.8181819915771484,0.6666669845581055,tvt_quantile/q0.92/w40,0.6163101604278075,34.901666033052834,push_t,kernel,pde_d0,0.0099
sigvar,2,pde,True,False,False,False,0.0099,position,10910,226.11,20724.6,1.2,0.5728909969329834,0.9242420196533203,0.5,tvt_quantile/q0.9/w25,0.6399782135076253,32.394805940720126,push_t,kernel,pde_d1,0.0099
sigtc,2,pde,True,False,False,False,0.0099,position,10910,103.99,9532.1,1.2,0.6060770153999329,0.7323229908943176,0.764706015586853,ct_quantile/q0.9/w15,0.7222717369776193,12.635826742892549,push_t,kernel,pde_d1,0.0099
sigmmd,2,pde,True,False,False,False,0.0099,position,10910,456.69,41860.0,1.2,0.5675680041313171,0.35858601331710815,0.8333330154418945,ct_quantile/q0.9/w1,0.6162606456724105,33.78559259998165,push_t,kernel,pde_d1,0.0099
sigvar,2,lin,True,False,False,False,40.4673,position,67643,16.25,240.3,3.6,0.6448829770088196,0.9278349876403809,0.7555559873580933,tvt_cp_band/q0.95/w2,0.7016658484699723,1.2696876183487602,stacking,kernel,lin,40.4673
sigtc,2,lin,True,False,False,False,40.4673,position,67643,15.27,225.7,3.6,0.7036269903182983,0.9567009806632996,0.7523810267448425,tvt_cp_band/q0.96/w4,0.8688496154475536,3.8364341845627288,stacking,kernel,lin,40.4673
