family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,scaling,theta
sigvar,1,lin,True,False,False,False,1.0,position,242,0.15,636.9,0.3,0.8642860054969788,1.0,0.8999999761581421,ct_quantile/q0.9/w1,0.99,2.324638437444635,push_chair,scale,raw,3.0333
sigtc,1,lin,True,False,False,False,1.0,position,242,0.1,410.5,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.94/w1,0.98,1.9247499004214916,push_chair,scale,raw,3.0333
sigmmd,1,lin,True,False,False,False,1.0,position,242,0.42,1717.1,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.94/w9,0.9400000000000001,1.5851051812408177,push_chair,scale,raw,3.0333
sigvar,2,lin,True,False,False,False,1.0,position,242,0.7,2879.1,0.4,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,3.2224411844267054,push_chair,scale,raw,3.0333
sigtc,2,lin,True,False,False,False,1.0,position,242,0.59,2448.2,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,2.0355137136762815,push_chair,scale,raw,3.0333
sigmmd,2,lin,True,False,False,False,1.0,position,242,0.4,1634.2,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.7562569608819705,push_chair,scale,raw,3.0333
sigvar,3,lin,True,False,False,False,1.0,position,242,0.6,2491.0,0.3,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,3.816894960491417,push_chair,scale,raw,3.0333
sigtc,3,lin,True,False,False,False,1.0,position,242,0.4,1638.3,0.4,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,2.134888573361496,push_chair,scale,raw,3.0333
sigmmd,3,lin,True,False,False,False,1.0,position,242,0.87,3602.9,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.8857902046280173,push_chair,scale,raw,3.0333
sigvar,4,lin,True,False,False,False,1.0,position,242,0.51,2108.6,0.3,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,4.091117376740078,push_chair,scale,raw,3.0333
sigtc,4,lin,True,False,False,False,1.0,position,242,0.2,827.0,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,2.168958225855805,push_chair,scale,raw,3.0333
sigmmd,4,lin,True,False,False,False,1.0,position,242,0.37,1535.0,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.9383366804164985,push_chair,scale,raw,3.0333
sigvar,5,lin,True,False,False,False,1.0,position,242,0.61,2515.9,0.3,0.8142859935760498,0.8999999761581421,0.8999999761581421,ct_quantile/q0.9/w1,0.99,4.179052495255517,push_chair,scale,raw,3.0333
sigtc,5,lin,True,False,False,False,1.0,position,242,0.58,2415.6,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.93/w1,0.98,2.175328048001631,push_chair,scale,raw,3.0333
sigmmd,5,lin,True,False,False,False,1.0,position,242,0.47,1958.4,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.9514076120030748,push_chair,scale,raw,3.0333
sigvar,1,lin,True,False,False,False,3.0333,position,242,0.15,613.2,0.3,0.8642860054969788,1.0,0.8999999761581421,ct_quantile/q0.9/w1,0.99,2.3246389949607495,push_chair,scale,tv_norm,3.0333
sigtc,1,lin,True,False,False,False,3.0333,position,242,0.14,584.8,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.94/w1,0.98,1.9247503159371535,push_chair,scale,tv_norm,3.0333
sigmmd,1,lin,True,False,False,False,3.0333,position,242,0.15,607.9,0.3,0.75,0.8999999761581421,0.800000011920929,ct_quantile/q0.97/w1,0.9400000000000001,1.151284245688674,push_chair,scale,tv_norm,3.0333
sigvar,2,lin,True,False,False,False,3.0333,position,242,0.23,953.1,0.3,0.8404759764671326,0.8999999761581421,1.0,tvt_cp_band/q0.96/w3,0.97,4.381545725670915,push_chair,scale,tv_norm,3.0333
sigtc,2,lin,True,False,False,False,3.0333,position,242,0.59,2445.2,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.97/w1,0.98,2.8801565956984714,push_chair,scale,tv_norm,3.0333
sigmmd,2,lin,True,False,False,False,3.0333,position,242,0.16,646.8,0.3,0.8285710215568542,1.0,0.8999999761581421,ct_quantile/q0.98/w7,0.95,1.5742491271719088,push_chair,scale,tv_norm,3.0333
sigvar,3,lin,True,False,False,False,3.0333,position,242,0.14,580.5,0.3,0.811905026435852,0.8999999761581421,0.8999999761581421,ct_quantile/q0.95/w2,0.95,5.945654478451045,push_chair,scale,tv_norm,3.0333
sigtc,3,lin,True,False,False,False,3.0333,position,242,0.15,612.3,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.98/w1,0.98,4.294738973076404,push_chair,scale,tv_norm,3.0333
sigmmd,3,lin,True,False,False,False,3.0333,position,242,0.14,591.8,0.3,0.8238099813461304,1.0,0.8999999761581421,tvt_cp_band/q0.91/w7,0.95,3.2731876896707073,push_chair,scale,tv_norm,3.0333
sigvar,4,lin,True,False,False,False,3.0333,position,242,0.27,1122.4,0.3,0.800000011920929,0.8999999761581421,0.8999999761581421,ct_quantile/q0.93/w3,0.9400000000000001,7.030925441866387,push_chair,scale,tv_norm,3.0333
sigtc,4,lin,True,False,False,False,3.0333,position,242,0.55,2291.8,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.99/w1,0.98,5.383798903142308,push_chair,scale,tv_norm,3.0333
sigmmd,4,lin,True,False,False,False,3.0333,position,242,0.72,2994.4,0.3,0.8238099813461304,1.0,0.8999999761581421,tvt_cp_band/q0.9/w7,0.95,5.4288166093233,push_chair,scale,tv_norm,3.0333
sigvar,5,lin,True,False,False,False,3.0333,position,242,0.61,2525.1,0.3,0.800000011920929,0.8999999761581421,0.8999999761581421,ct_quantile/q0.94/w3,0.9400000000000001,7.794214309403957,push_chair,scale,tv_norm,3.0333
sigtc,5,lin,True,False,False,False,3.0333,position,242,0.68,2827.4,0.3,0.8547620177268982,1.0,0.8999999761581421,ct_quantile/q0.99/w1,0.99,6.041743692591006,push_chair,scale,tv_norm,3.0333
sigmmd,5,lin,True,False,False,False,3.0333,position,242,0.48,1970.8,0.3,0.8238099813461304,1.0,0.8999999761581421,tvt_cp_band/q0.9/w7,0.95,7.268873489433994,push_chair,scale,tv_norm,3.0333
sigvar,1,lin,True,False,False,False,1.0,position,1661,0.4,242.1,0.4,0.6768119931221008,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w3,0.29,0.9055197154315616,pretzel,scale,raw,10.6832
sigtc,1,lin,True,False,False,False,1.0,position,1661,0.15,90.6,0.4,0.7021740078926086,1.0,0.6000000238418579,tvt_cp_band/q0.93/w2,0.25,2.854373925245513,pretzel,scale,raw,10.6832
sigmmd,1,lin,True,False,False,False,1.0,position,1661,0.15,89.7,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.56,1.1100780186259465,pretzel,scale,raw,10.6832
sigvar,2,lin,True,False,False,False,1.0,position,1661,0.42,249.9,0.4,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.29000000000000004,0.8710717589239395,pretzel,scale,raw,10.6832
sigtc,2,lin,True,False,False,False,1.0,position,1661,0.61,364.3,0.5,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.821348346944105,pretzel,scale,raw,10.6832
sigmmd,2,lin,True,False,False,False,1.0,position,1661,0.6,361.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.5700000000000001,1.1061943702163024,pretzel,scale,raw,10.6832
sigvar,3,lin,True,False,False,False,1.0,position,1661,0.46,278.5,0.4,0.6630430221557617,0.800000011920929,0.699999988079071,tvt_cp_band/q0.99/w2,0.3,0.8646813524494732,pretzel,scale,raw,10.6832
sigtc,3,lin,True,False,False,False,1.0,position,1661,0.56,337.3,0.5,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.815037337089912,pretzel,scale,raw,10.6832
sigmmd,3,lin,True,False,False,False,1.0,position,1661,0.77,464.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.105516936674977,pretzel,scale,raw,10.6832
sigvar,4,lin,True,False,False,False,1.0,position,1661,0.16,99.1,0.4,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.3,0.8639833695245133,pretzel,scale,raw,10.6832
sigtc,4,lin,True,False,False,False,1.0,position,1661,0.59,354.3,0.4,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.8143759656162786,pretzel,scale,raw,10.6832
sigmmd,4,lin,True,False,False,False,1.0,position,1661,0.22,133.0,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.1054630032412651,pretzel,scale,raw,10.6832
sigvar,5,lin,True,False,False,False,1.0,position,1661,0.5,300.4,0.6,0.6195650100708008,0.800000011920929,0.6000000238418579,tvt_cp_band/q0.9/w2,0.29,0.8639536530864425,pretzel,scale,raw,10.6832
sigtc,5,lin,True,False,False,False,1.0,position,1661,0.39,232.8,0.4,0.6731879711151123,0.8999999761581421,0.699999988079071,tvt_cp_band/q0.9/w5,0.25,2.8143777696919203,pretzel,scale,raw,10.6832
sigmmd,5,lin,True,False,False,False,1.0,position,1661,0.78,469.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.105448465796409,pretzel,scale,raw,10.6832
sigvar,1,lin,True,False,False,False,10.6832,position,1661,0.68,411.6,0.4,0.6768119931221008,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w3,0.29,0.905746896870854,pretzel,scale,tv_norm,10.6832
sigtc,1,lin,True,False,False,False,10.6832,position,1661,0.36,216.5,0.4,0.7043480277061462,1.0,0.6000000238418579,tvt_cp_band/q0.93/w2,0.25,2.854358929293,pretzel,scale,tv_norm,10.6832
sigmmd,1,lin,True,False,False,False,10.6832,position,1661,0.45,271.0,0.4,0.6065220236778259,0.6000000238418579,0.800000011920929,tvt_cp_band/q0.9/w1,0.24,0.5241462443555484,pretzel,scale,tv_norm,10.6832
sigvar,2,lin,True,False,False,False,10.6832,position,1661,0.16,97.1,0.6,0.6637679934501648,0.800000011920929,0.699999988079071,tvt_cp_band/q0.9/w1,0.15,1.1353591525614797,pretzel,scale,tv_norm,10.6832
sigtc,2,lin,True,False,False,False,10.6832,position,1661,0.15,92.4,0.4,0.6717389822006226,1.0,0.6000000238418579,tvt_cp_band/q0.95/w2,0.26,2.80250983126844,pretzel,scale,tv_norm,10.6832
sigmmd,2,lin,True,False,False,False,10.6832,position,1661,0.14,87.0,0.4,0.6268119812011719,0.8999999761581421,0.800000011920929,ct_quantile/q0.9/w13,0.23000000000000004,0.014015137758912628,pretzel,scale,tv_norm,10.6832
sigvar,3,lin,True,False,False,False,10.6832,position,1661,0.15,90.0,0.4,0.7608699798583984,0.8999999761581421,0.699999988079071,tvt_quantile/q0.96/w45,0.36,1.3695933769554889,pretzel,scale,tv_norm,10.6832
sigtc,3,lin,True,False,False,False,10.6832,position,1661,0.39,233.4,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.25,2.7818402364353734,pretzel,scale,tv_norm,10.6832
sigmmd,3,lin,True,False,False,False,10.6832,position,1661,0.14,83.5,0.4,0.5934780240058899,0.800000011920929,0.800000011920929,ct_quantile/q0.98/w7,0.24000000000000005,0.004633517848859778,pretzel,scale,tv_norm,10.6832
sigvar,4,lin,True,False,False,False,10.6832,position,1661,0.23,139.4,0.4,0.8086959719657898,1.0,0.699999988079071,tvt_quantile/q0.92/w45,0.4,1.4917800960399652,pretzel,scale,tv_norm,10.6832
sigtc,4,lin,True,False,False,False,10.6832,position,1661,0.54,326.9,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.26,2.7744619075969994,pretzel,scale,tv_norm,10.6832
sigmmd,4,lin,True,False,False,False,10.6832,position,1661,0.7,419.4,0.5,0.6239129900932312,0.8999999761581421,0.800000011920929,ct_quantile/q0.92/w25,0.25,0.0003814030481728743,pretzel,scale,tv_norm,10.6832
sigvar,5,lin,True,False,False,False,10.6832,position,1661,0.78,468.7,0.4,0.8086959719657898,1.0,0.699999988079071,tvt_quantile/q0.93/w45,0.41999999999999993,1.5312733587544483,pretzel,scale,tv_norm,10.6832
sigtc,5,lin,True,False,False,False,10.6832,position,1661,0.45,268.2,0.4,0.6739130020141602,1.0,0.6000000238418579,tvt_cp_band/q0.9/w2,0.26,2.772772613077649,pretzel,scale,tv_norm,10.6832
sigmmd,5,lin,True,False,False,False,10.6832,position,1661,0.54,323.0,0.4,0.6434779763221741,0.800000011920929,0.8999999761581421,ct_quantile/q0.99/w7,0.32999999999999996,8.672579958228522e-05,pretzel,scale,tv_norm,10.6832
sigvar,1,lin,True,False,False,False,1.0,position,21200,6.84,322.5,1.8,0.5794010162353516,0.7448279857635498,0.6470590233802795,tvt_quantile/q0.91/w40,0.5729682217714671,0.9016409181379934,sorting,scale,raw,492.855
