family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,scaling,theta
sigmmd,1,lin,True,False,False,False,1.0,position,242,0.31,1293.9,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.94/w9,0.9400000000000001,1.5851051812408177,push_chair,scale,raw,3.0333
sigmmd,2,lin,True,False,False,False,1.0,position,242,0.15,608.0,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.7562569608819705,push_chair,scale,raw,3.0333
sigmmd,3,lin,True,False,False,False,1.0,position,242,0.4,1649.7,0.4,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.8857902046280173,push_chair,scale,raw,3.0333
sigmmd,4,lin,True,False,False,False,1.0,position,242,0.71,2937.2,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.9383366804164985,push_chair,scale,raw,3.0333
sigmmd,5,lin,True,False,False,False,1.0,position,242,0.85,3515.1,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.93/w9,0.9400000000000001,1.9514076120030748,push_chair,scale,raw,3.0333
sigmmd,1,lin,True,False,False,False,3.0333,position,242,0.58,2384.8,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.94/w9,0.9400000000000001,1.5851049470377336,push_chair,scale,tv_norm,3.0333
sigmmd,2,lin,True,False,False,False,3.0333,position,242,0.4,1649.0,0.3,0.7833330035209656,1.0,0.800000011920929,ct_quantile/q0.94/w9,0.9400000000000001,2.745945104834965,push_chair,scale,tv_norm,3.0333
sigmmd,3,lin,True,False,False,False,3.0333,position,242,0.55,2253.8,0.3,0.780951976776123,1.0,0.800000011920929,ct_quantile/q0.95/w9,0.9400000000000001,4.82606910791122,push_chair,scale,tv_norm,3.0333
sigmmd,4,lin,True,False,False,False,3.0333,position,242,0.52,2151.6,0.3,0.780951976776123,1.0,0.800000011920929,ct_quantile/q0.95/w9,0.95,6.916016669722164,push_chair,scale,tv_norm,3.0333
sigmmd,5,lin,True,False,False,False,3.0333,position,242,0.52,2161.9,0.3,0.780951976776123,1.0,0.800000011920929,ct_quantile/q0.95/w9,0.95,8.420518415567052,push_chair,scale,tv_norm,3.0333
sigmmd,1,lin,True,False,False,False,1.0,position,1661,0.7,420.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.56,1.1100780186259465,pretzel,scale,raw,10.6832
sigmmd,2,lin,True,False,False,False,1.0,position,1661,0.53,319.8,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.5700000000000001,1.1061943702163024,pretzel,scale,raw,10.6832
sigmmd,3,lin,True,False,False,False,1.0,position,1661,0.16,98.2,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.105516936674977,pretzel,scale,raw,10.6832
sigmmd,4,lin,True,False,False,False,1.0,position,1661,0.15,90.7,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.1054630032412651,pretzel,scale,raw,10.6832
sigmmd,5,lin,True,False,False,False,1.0,position,1661,0.46,274.9,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.91/w5,0.5800000000000001,1.105448465796409,pretzel,scale,raw,10.6832
sigmmd,1,lin,True,False,False,False,10.6832,position,1661,0.15,92.9,0.4,0.7355070114135742,0.5,1.0,ct_quantile/q0.9/w5,0.56,1.1100588581300963,pretzel,scale,tv_norm,10.6832
sigmmd,2,lin,True,False,False,False,10.6832,position,1661,0.14,85.4,0.4,0.7318840026855469,0.5,1.0,ct_quantile/q0.92/w7,0.56,1.161712640755764,pretzel,scale,tv_norm,10.6832
sigmmd,3,lin,True,False,False,False,10.6832,position,1661,0.44,267.1,0.4,0.7333329916000366,0.5,1.0,ct_quantile/q0.9/w7,0.56,1.2397695509023112,pretzel,scale,tv_norm,10.6832
sigmmd,4,lin,True,False,False,False,10.6832,position,1661,0.33,198.8,0.4,0.7333329916000366,0.5,1.0,ct_quantile/q0.9/w7,0.56,1.272223978904947,pretzel,scale,tv_norm,10.6832
sigmmd,5,lin,True,False,False,False,10.6832,position,1661,0.68,407.4,0.4,0.7333329916000366,0.5,1.0,ct_quantile/q0.9/w7,0.56,1.2801573114775056,pretzel,scale,tv_norm,10.6832
